芝麻信用,芝麻分,违约记录,15岁以下,16-20岁,21-25岁,26-30岁,31-35岁,36-40岁,41-45岁,46-50岁,51-55岁,56-60岁,61-65岁,66岁以上,3500以下,3500-5000,5000-8000,8000-1250,12500-38500,38500-58500,58500-83500,大于83000,教育程度,商品房,自建房,公积金,支付宝年龄,无职业,个体,教师,医护人员,职员,公务员,金融从业者,房贷,车贷,其他,婚姻状况,网购记录,违法记录
0,708,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.0417873189717515,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.03883178741539233,0
0,740,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.544192110765032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.14765605414890948,0
1,612,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.0004340774793183,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,1,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.1977939333166207,0
1,642,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,2.6998377258672455,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.022311356229631485,0
1,647,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.0004340774793183,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0
1,558,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.4772659954248524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.022311356229631485,0
1,640,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.17638069224327,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0,0.047380295813487086,0
1,571,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.544192110765032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.022311356229631485,0
0,727,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.17638069224327,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,0.7493106041614439,1
0,726,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3426200425533477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
0,695,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.32313863123589875,0
0,696,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.4771212547196617,3.301247088636211,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.047380295813487086,0
1,668,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.17638069224327,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.09751817498119829,0
1,643,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4772659954248524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.022311356229631485,0
1,585,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.505285674144132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.032338932063173724,0
1,551,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4772659954248524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.059914765605414894,0
1,617,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4772659954248524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.03985961393833041,0
1,665,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.17638069224327,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.022311356229631485,0
1,579,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,2.3031960574204886,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.05239408373025821,0
1,645,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.4771212547196617,3.0004340774793183,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0,5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.034845826021559285,0
0,712,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.4772659954248524,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0,6,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1,0.12760090248182504,1
1,676,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.0004340774793183,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.047380295813487086,0
1,595,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.0004340774793183,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.027325144146402608,0
1,622,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.17638069224327,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.047380295813487086,0
0,685,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.4772659954248524,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,0.0,0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.07996991727249937,0
0,715,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5440680443502752,3.4771212547196617,3.602168551378997,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.09751817498119829,0
